<BALANCE>,Data
19633.0,2017-11-24
19633.0,2017-11-27
19581.0,2017-11-28
19581.0,2017-11-29
19581.0,2017-11-30
19194.0,2017-12-01
18446.0,2017-12-04
18972.0,2017-12-05
18972.0,2017-12-06
18894.0,2017-12-07
18764.0,2017-12-08
18696.0,2017-12-11
18899.0,2017-12-12
18717.0,2017-12-13
18741.0,2017-12-14
18699.0,2017-12-15
18508.0,2017-12-18
18508.0,2017-12-19
18434.0,2017-12-20
18727.0,2017-12-21
18727.0,2017-12-22
18565.0,2017-12-26
18579.0,2017-12-27
18601.0,2017-12-28
18460.0,2018-01-02
18340.0,2018-01-03
18790.0,2018-01-04
18790.0,2018-01-05
18718.0,2018-01-08
18718.0,2018-01-09
18747.0,2018-01-10
18318.0,2018-01-11
18039.0,2018-01-12
18081.0,2018-01-15
17998.0,2018-01-16
18337.0,2018-01-17
18337.0,2018-01-18
18293.0,2018-01-19
18297.0,2018-01-22
18297.0,2018-01-23
18454.0,2018-01-24
17964.0,2018-01-26
17964.0,2018-01-29
17964.0,2018-01-30
18004.0,2018-01-31
17730.0,2018-02-01
17686.0,2018-02-02
17998.0,2018-02-05
18158.0,2018-02-06
18158.0,2018-02-07
18158.0,2018-02-08
18158.0,2018-02-09
18158.0,2018-02-14
18164.0,2018-02-15
18041.0,2018-02-16
18077.0,2018-02-19
18416.0,2018-02-20
17581.0,2018-02-21
17781.0,2018-02-22
17941.0,2018-02-23
18085.0,2018-02-26
18085.0,2018-02-27
18085.0,2018-02-28
17704.0,2018-03-01
17991.0,2018-03-02
18103.0,2018-03-05
18143.0,2018-03-06
18143.0,2018-03-07
18462.0,2018-03-08
18659.0,2018-03-09
18613.0,2018-03-12
18952.0,2018-03-13
19291.0,2018-03-14
19291.0,2018-03-15
19449.0,2018-03-16
19449.0,2018-03-19
19389.0,2018-03-20
18725.0,2018-03-21
19044.0,2018-03-22
19489.0,2018-03-23
19659.0,2018-03-26
19998.0,2018-03-27
19998.0,2018-03-28
19998.0,2018-03-29
19998.0,2018-04-02
20225.0,2018-04-03
20063.0,2018-04-04
20245.0,2018-04-05
20245.0,2018-04-06
20584.0,2018-04-09
20402.0,2018-04-10
20571.0,2018-04-11
20589.0,2018-04-12
20589.0,2018-04-13
20589.0,2018-04-16
20831.0,2018-04-17
20831.0,2018-04-18
20831.0,2018-04-19
20747.0,2018-04-20
20707.0,2018-04-23
21046.0,2018-04-24
21000.0,2018-04-25
20750.0,2018-04-26
20894.0,2018-04-27
20894.0,2018-04-30
20826.0,2018-05-02
20816.0,2018-05-03
21004.0,2018-05-04
21130.0,2018-05-07
20948.0,2018-05-08
20662.0,2018-05-09
20680.0,2018-05-10
20847.0,2018-05-11
20865.0,2018-05-14
20743.0,2018-05-15
21034.0,2018-05-16
21034.0,2018-05-17
21262.0,2018-05-18
21601.0,2018-05-21
21193.0,2018-05-22
21387.0,2018-05-23
21475.0,2018-05-24
21515.0,2018-05-25
21515.0,2018-05-28
21535.0,2018-05-29
21256.0,2018-05-30
21130.0,2018-06-01
21130.0,2018-06-04
21403.0,2018-06-05
21471.0,2018-06-06
21559.0,2018-06-07
21377.0,2018-06-08
21377.0,2018-06-11
21405.0,2018-06-12
21405.0,2018-06-13
21405.0,2018-06-14
21385.0,2018-06-15
21371.0,2018-06-18
21710.0,2018-06-19
21880.0,2018-06-20
21880.0,2018-06-21
21966.0,2018-06-22
21586.0,2018-06-25
21732.0,2018-06-26
21909.0,2018-06-27
21481.0,2018-06-28
21621.0,2018-06-29
21271.0,2018-07-02
21401.0,2018-07-03
21717.0,2018-07-04
22068.0,2018-07-05
21944.0,2018-07-06
22283.0,2018-07-10
22431.0,2018-07-11
22327.0,2018-07-12
22231.0,2018-07-13
22014.0,2018-07-16
22344.0,2018-07-17
22546.0,2018-07-18
22406.0,2018-07-19
22103.0,2018-07-20
22103.0,2018-07-23
21772.0,2018-07-24
21989.0,2018-07-25
21989.0,2018-07-26
21429.0,2018-07-27
21222.0,2018-07-30
21222.0,2018-07-31
21322.0,2018-08-01
21585.0,2018-08-02
21501.0,2018-08-03
21541.0,2018-08-06
21860.0,2018-08-07
21860.0,2018-08-08
21860.0,2018-08-09
21860.0,2018-08-10
21936.0,2018-08-13
22022.0,2018-08-14
22022.0,2018-08-15
21840.0,2018-08-16
21856.0,2018-08-17
21856.0,2018-08-20
21856.0,2018-08-21
22179.0,2018-08-22
22179.0,2018-08-23
22259.0,2018-08-24
22126.0,2018-08-27
22126.0,2018-08-28
22416.0,2018-08-29
22416.0,2018-08-30
22073.0,2018-08-31
22073.0,2018-09-03
22073.0,2018-09-04
21688.0,2018-09-05
21370.0,2018-09-06
21548.0,2018-09-10
21548.0,2018-09-11
21630.0,2018-09-12
21649.0,2018-09-13
21877.0,2018-09-14
22196.0,2018-09-17
22619.0,2018-09-18
23178.0,2018-09-19
23402.0,2018-09-20
23550.0,2018-09-21
23550.0,2018-09-24
23375.0,2018-09-25
22978.0,2018-09-26
23182.0,2018-09-27
23397.0,2018-09-28
23395.0,2018-10-01
23263.0,2018-10-02
22960.0,2018-10-03
23134.0,2018-10-04
23473.0,2018-10-05
23034.0,2018-10-08
23034.0,2018-10-09
23034.0,2018-10-10
23373.0,2018-10-11
23138.0,2018-10-15
