<BALANCE>,Data
15167.0,2018-03-27
15080.0,2018-03-28
14701.0,2018-03-29
14843.0,2018-04-02
14876.0,2018-04-03
14754.0,2018-04-04
14608.0,2018-04-05
14804.0,2018-04-06
14977.0,2018-04-09
15025.0,2018-04-10
15019.0,2018-04-11
15183.0,2018-04-12
15143.0,2018-04-13
15096.0,2018-04-16
14812.0,2018-04-17
14521.0,2018-04-18
14657.0,2018-04-19
14664.0,2018-04-20
14868.0,2018-04-23
14876.0,2018-04-24
14940.0,2018-04-25
15012.0,2018-04-26
15231.0,2018-04-27
14995.0,2018-04-30
14890.0,2018-05-02
14695.0,2018-05-03
14630.0,2018-05-04
14774.0,2018-05-07
15191.0,2018-05-08
15261.0,2018-05-09
14743.0,2018-05-10
15039.0,2018-05-11
14969.0,2018-05-14
14978.0,2018-05-15
15066.0,2018-05-16
14498.0,2018-05-17
14048.0,2018-05-18
13983.0,2018-05-21
14070.0,2018-05-22
14167.0,2018-05-23
14171.0,2018-05-24
14167.0,2018-05-25
14263.0,2018-05-28
14655.0,2018-05-29
15240.0,2018-05-30
15149.0,2018-06-01
15140.0,2018-06-04
15438.0,2018-06-05
15623.0,2018-06-06
15497.0,2018-06-07
15128.0,2018-06-08
15121.0,2018-06-11
14854.0,2018-06-12
15276.0,2018-06-13
15205.0,2018-06-14
14930.0,2018-06-15
14967.0,2018-06-18
14954.0,2018-06-19
15105.0,2018-06-20
14483.0,2018-06-21
14542.0,2018-06-22
14561.0,2018-06-25
14739.0,2018-06-26
14839.0,2018-06-27
14653.0,2018-06-28
14595.0,2018-06-29
14717.0,2018-07-02
14685.0,2018-07-03
14812.0,2018-07-04
14871.0,2018-07-05
15053.0,2018-07-06
14776.0,2018-07-10
14979.0,2018-07-11
14761.0,2018-07-12
14955.0,2018-07-13
15102.0,2018-07-16
14914.0,2018-07-17
15304.0,2018-07-18
15289.0,2018-07-19
15561.0,2018-07-20
15767.0,2018-07-23
15895.0,2018-07-24
16236.0,2018-07-25
16125.0,2018-07-26
16179.0,2018-07-27
16214.0,2018-07-30
16105.0,2018-07-31
16374.0,2018-08-01
16338.0,2018-08-02
16421.0,2018-08-03
16409.0,2018-08-06
16348.0,2018-08-07
16413.0,2018-08-08
16671.0,2018-08-09
16035.0,2018-08-10
16139.0,2018-08-13
16184.0,2018-08-14
16204.0,2018-08-15
16438.0,2018-08-16
16504.0,2018-08-17
16370.0,2018-08-20
16344.0,2018-08-21
16145.0,2018-08-22
16155.0,2018-08-23
16328.0,2018-08-24
16265.0,2018-08-27
16376.0,2018-08-28
16103.0,2018-08-29
15434.0,2018-08-30
15808.0,2018-08-31
15963.0,2018-09-03
15835.0,2018-09-04
15798.0,2018-09-05
15809.0,2018-09-06
15885.0,2018-09-10
15739.0,2018-09-11
15827.0,2018-09-12
16055.0,2018-09-13
16155.0,2018-09-14
16414.0,2018-09-17
16221.0,2018-09-18
16240.0,2018-09-19
16178.0,2018-09-20
15846.0,2018-09-21
15692.0,2018-09-24
15789.0,2018-09-25
16152.0,2018-09-26
16341.0,2018-09-27
16415.0,2018-09-28
16454.0,2018-10-01
16406.0,2018-10-02
15961.0,2018-10-03
16139.0,2018-10-04
16090.0,2018-10-05
16187.0,2018-10-08
16481.0,2018-10-09
16431.0,2018-10-10
16528.0,2018-10-11
16915.0,2018-10-15
16723.0,2018-10-16
16803.0,2018-10-17
16559.0,2018-10-18
16637.0,2018-10-19
16566.0,2018-10-22
16326.0,2018-10-23
16656.0,2018-10-24
16547.0,2018-10-25
16940.0,2018-10-26
17037.0,2018-10-29
17045.0,2018-10-30
17195.0,2018-10-31
17459.0,2018-11-01
17425.0,2018-11-05
17118.0,2018-11-06
17296.0,2018-11-07
17413.0,2018-11-08
17147.0,2018-11-09
17108.0,2018-11-12
17470.0,2018-11-13
17769.0,2018-11-14
17363.0,2018-11-16
17453.0,2018-11-19
17557.0,2018-11-21
17528.0,2018-11-22
17408.0,2018-11-23
17560.0,2018-11-26
17215.0,2018-11-27
17558.0,2018-11-28
17639.0,2018-11-29
17817.0,2018-11-30
17837.0,2018-12-03
18152.0,2018-12-04
18382.0,2018-12-05
18798.0,2018-12-06
19172.0,2018-12-07
19097.0,2018-12-10
18799.0,2018-12-11
19093.0,2018-12-12
19333.0,2018-12-13
19381.0,2018-12-14
19570.0,2018-12-17
19644.0,2018-12-18
19860.0,2018-12-19
19910.0,2018-12-20
20206.0,2018-12-21
20141.0,2018-12-26
20250.0,2018-12-27
19850.0,2018-12-28
19764.0,2019-01-02
20080.0,2019-01-03
20288.0,2019-01-04
20243.0,2019-01-07
20547.0,2019-01-08
20499.0,2019-01-09
20510.0,2019-01-10
20684.0,2019-01-11
20795.0,2019-01-14
20965.0,2019-01-15
21114.0,2019-01-16
21106.0,2019-01-17
21033.0,2019-01-18
20967.0,2019-01-21
21012.0,2019-01-22
20901.0,2019-01-23
20822.0,2019-01-24
20448.0,2019-01-28
20331.0,2019-01-29
20059.0,2019-01-30
20066.0,2019-01-31
20188.0,2019-02-01
20373.0,2019-02-04
20490.0,2019-02-05
20326.0,2019-02-06
20380.0,2019-02-07
21013.0,2019-02-08
20921.0,2019-02-11
20782.0,2019-02-12
21082.0,2019-02-13
20740.0,2019-02-14
21153.0,2019-02-15
20907.0,2019-02-18
20628.0,2019-02-19
20644.0,2019-02-20
20565.0,2019-02-21
20658.0,2019-02-22
20690.0,2019-02-25
20842.0,2019-02-26
20699.0,2019-02-27
20860.0,2019-02-28
20723.0,2019-03-01
20500.0,2019-03-06
20472.0,2019-03-07
20468.0,2019-03-08
20184.0,2019-03-11
20559.0,2019-03-12
20703.0,2019-03-13
20702.0,2019-03-14
21209.0,2019-03-15
21144.0,2019-03-18
21258.0,2019-03-19
21412.0,2019-03-20
21124.0,2019-03-21
20961.0,2019-03-22
21116.0,2019-03-25
20974.0,2019-03-26
20956.0,2019-03-27
20489.0,2019-03-28
20448.0,2019-03-29
20562.0,2019-04-01
20215.0,2019-04-02
20519.0,2019-04-03
20466.0,2019-04-04
20775.0,2019-04-05
21375.0,2019-04-08
21033.0,2019-04-09
21136.0,2019-04-10
20819.0,2019-04-11
21276.0,2019-04-12
21384.0,2019-04-15
21273.0,2019-04-16
21370.0,2019-04-17
21412.0,2019-04-18
21621.0,2019-04-22
21496.0,2019-04-23
21614.0,2019-04-24
21706.0,2019-04-25
21805.0,2019-04-26
21864.0,2019-04-29
21987.0,2019-04-30
22017.0,2019-05-02
22010.0,2019-05-03
22152.0,2019-05-06
22165.0,2019-05-07
21971.0,2019-05-08
21706.0,2019-05-09
21471.0,2019-05-10
21520.0,2019-05-13
21703.0,2019-05-14
22160.0,2019-05-15
22622.0,2019-05-16
22313.0,2019-05-17
22511.0,2019-05-20
22418.0,2019-05-21
22865.0,2019-05-22
23002.0,2019-05-23
23109.0,2019-05-24
22868.0,2019-05-27
22923.0,2019-05-28
23292.0,2019-05-29
23474.0,2019-05-30
23720.0,2019-05-31
23802.0,2019-06-03
23849.0,2019-06-04
24029.0,2019-06-05
24397.0,2019-06-06
24250.0,2019-06-07
24119.0,2019-06-10
24050.0,2019-06-11
23960.0,2019-06-12
24023.0,2019-06-13
24049.0,2019-06-14
23888.0,2019-06-17
23605.0,2019-06-18
23566.0,2019-06-19
23511.0,2019-06-21
23652.0,2019-06-24
23530.0,2019-06-25
23929.0,2019-06-26
23629.0,2019-06-27
23762.0,2019-06-28
23604.0,2019-07-01
24032.0,2019-07-02
23921.0,2019-07-03
23943.0,2019-07-04
23937.0,2019-07-05
24031.0,2019-07-08
23829.0,2019-07-10
23983.0,2019-07-11
24219.0,2019-07-12
24684.0,2019-07-15
24919.0,2019-07-16
25183.0,2019-07-17
25318.0,2019-07-18
25004.0,2019-07-19
25119.0,2019-07-22
25280.0,2019-07-23
25249.0,2019-07-24
25391.0,2019-07-25
25379.0,2019-07-26
25653.0,2019-07-29
25666.0,2019-07-30
25437.0,2019-07-31
24942.0,2019-08-01
25420.0,2019-08-02
25148.0,2019-08-05
25014.0,2019-08-06
24559.0,2019-08-07
24370.0,2019-08-08
24620.0,2019-08-09
24495.0,2019-08-12
24846.0,2019-08-13
24602.0,2019-08-14
24811.0,2019-08-15
24948.0,2019-08-16
24961.0,2019-08-19
25463.0,2019-08-20
25441.0,2019-08-21
25503.0,2019-08-22
26079.0,2019-08-23
26322.0,2019-08-26
26476.0,2019-08-27
26512.0,2019-08-28
26127.0,2019-08-29
26255.0,2019-08-30
26542.0,2019-09-02
27055.0,2019-09-03
27325.0,2019-09-04
27160.0,2019-09-05
27394.0,2019-09-06
27491.0,2019-09-09
28011.0,2019-09-10
28108.0,2019-09-11
28310.0,2019-09-12
